name,category
Tapping pen,Daily <br>routines
Waving hand,Daily <br>routines
Clapping hand,Daily <br>routines
Pick up,Daily <br>routines
Drinking/Eating,Daily <br>routines
Walking,Daily <br>routines
Watering,Daily <br>routines
Brushing teeth,Daily <br>routines
Brushing hair,Daily <br>routines
Flipping pages,Daily <br>routines
Scanning,Daily <br>routines
Parade,Daily <br>routines
Dumbell curl,Physical <br>exercise
Squat,Physical <br>exercise
Lunge,Physical <br>exercise
Push up,Physical <br>exercise
Overhead press,Physical <br>exercise
Sit up,Physical <br>exercise
Stretching,Physical <br>exercise
Throwing ball,Physical <br>exercise
Skipping,Physical <br>exercise
Pumping fist,Physical <br>exercise
"Tennis racket swinging,",Physical <br>exercise
Rope training,Physical <br>exercise
Step,Physical <br>exercise
Pealing,Kitchen <br>activities
Stirring,Kitchen <br>activities
Grating,Kitchen <br>activities
Slicing,Kitchen <br>activities
Rolling flour,Kitchen <br>activities
Cleaning dishes,Kitchen <br>activities
Sweeping,Chores
Mopping,Chores
Wiping table,Chores
Wiping window,Chores
Ironing ,Chores
Nailing,Factory <br>activities
Sawing,Factory <br>activities
Painting,Factory <br>activities
Flipping,Factory <br>activities
Cutting,Factory <br>activities
Shaking clothes,Factory <br>activities
Playing ukulele,Instrumental <br>related
Playing drum,Instrumental <br>related
Playing cajon,Instrumental <br>related
Shoulder extension,Rehabilitation <br>trainning
Shoulder abduction,Rehabilitation <br>trainning
Shoulder scaption,Rehabilitation <br>trainning
Wrist rotation,Rehabilitation <br>trainning
Hip rotation,Rehabilitation <br>trainning
